Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Summary;;;;;;;;;;;;;;;;;;;;;;;;
"H3KUEI3L,journalArticle,2024.0,""Yi, Peng"; Liang, Lei; Zhang, Da; Chen, Yong; Zhu, Jinye; Liu, Xiangyu; Tang, Kun; Chen, Jialin; Lin, Hao; Qiu, Leijie;" Zhou, Jun"",KGFabric: A Scalable Knowledge Graph Warehouse for Enterprise Data Interconnection,Proceedings of the VLDB Endowment,,2150-8097,10.14778/3685800.3685810,https://dl.acm.org/doi/10.14778/3685800.3685810,""Based on the diversified application scenarios at Ant Group, we built the Ant Knowledge Graph Platform (AKGP). It has constructed numerous domain-specific knowledge graphs related to merchants, companies, accounts, products, and more. AKGP manages trillions of structured knowledge graphs, serving search, recommendation, risk control and other businesses. However, as the demand increasing for various workloads such as graph pattern matching, graph representation learning, and cross-domain knowledge reuse, the existing warehouse systems based on relational DBMS or graph databases are unable to meet the requirements. To address these issues, we propose KGFabric, an industrial-scale knowledge graph management system built on the distributed file system (DFS). KGFabric offers a nearline knowledge storage engine that utilizes a Semantic-enhanced Programmable Graph (SPG) model, which is compatible with the Labeled Property Graph (LPG) model. The data is persistently stored in DFS, such as HDFS, which leverages the POSIX file system API, making it suitable for deployment in multi-cloud environment at low cost. KGFabric provides a native graph-based and hybrid storage format that can serve as a shared backend for parallel graph computing systems, significantly accelerating the analysis of multi-workload. Additionally, KGFabric includes a graph fabric framework that minimizes data duplication and guarantees data security.             KGFabric is able to manage Peta-scale data and has supported graph fabric and analysis with over 100 billion relations at Ant Group. We conduct experiments on various datasets to evaluate the performance of KGFabric. Compared with popular relational DBMS and graph databases, the storage space for semantic relations is reduced by over 90%. The performance of graph fabric improves by 21× in real-world workloads. In multi-hop semantic graph analysis, KGFabric enhances performance by 100×."",2024-08,2024-11-26 18:03:34,2024-11-26 18:03:34,2024-11-26 18:03:34,3841-3854,,12.0,17.0,,Proc. VLDB Endow.,KGFabric,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;
"PSBTT8Y4,journalArticle,2025.0,""Bena, Yunusa Adamu"; Ibrahim, Roliana; Mahmood, Jamilah; Al-Dhaqm, Arafat; Alshammari, Ahmad; Nasser, Maged; Nura Yusuf, Muhammed;" Ayemowa, Matthew O."",Big Data Governance Challenges Arising From Data Generated by Intelligent Systems Technologies: A Systematic Literature Review,IEEE Access,,2169-3536,10.1109/ACCESS.2025.3528941,https://ieeexplore.ieee.org/document/10839423,""The exponential growth of intelligent systems technologies, including Artificial Intelligence (AI), Internet of Things (IoT), Machine Learning (ML), and Smart Connected Products, has intensified the difficulties of data governance. Organizations adopting these technologies face challenges in managing the volume, variety, and velocity of data while ensuring quality, security, compliance, and ethical integrity. This study investigates the state of big data governance (BDG) programs in organizations leveraging intelligent systems technologies, using a systematic literature review guided by PRISMA. A synthesis of insights from 74 peer-reviewed articles, conferences, and industry reports reveals both the significant benefits of BDG such as enhanced decision-making, operational efficiency, and regulatory compliance and persistent challenges, including fragmented governance frameworks, limited scalability, data quality issues, and ethical concerns. To address these gaps, this study proposes the big data governance maturity assessment model (BDG MAM), a novel framework developed to assess and enhance the maturity of BDG programs. The BDG MAM evaluates governance maturity across four key dimensions: people, process, data, and technology. It provides a structured roadmap for organizations to benchmark governance practices, prioritize improvements, and implement effective strategies. The model was validated through a pilot study conducted with a public higher learning institution, demonstrating its practical applicability and effectiveness in real-world scenarios. By bridging theoretical insights with practical implementation, this study advances academic discourse and provides practitioners with a robust approach to navigate the challenges of modern data governance practices, ensuring sustainable and effective management of heterogeneous data environment."",2025,2025-03-03 21:26:32,2025-03-03 21:26:32,2025-03-03 21:26:32,12859-12888,,,13.0,,,Big Data Governance Challenges Arising From Data Generated by Intelligent Systems Technologies,,,,,,,,,,,,IEEE Xplore,,Conference Name: IEEE Access,,C:\Users\kasutaja\Zotero\storage\BV5CY5S7\Bena et al. - 2025 - Big Data Governance Challenges Arising From Data G.pdf"; C:\Users\kasutaja\Zotero\storage\FKC4ZXYS\10839423.html,,,Data models; Artificial intelligence; Security; Big Data; Organizations; Data governance; Big data governance; data governance approaches; data governance challenges; data governance impact/benefit; Ethics; Intelligent systems; intelligent systems technologies; maturity assessment model; Scalability; systematic literature review; Systematic literature review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.
"AB8UV4FF,webpage,,,LLaMA-Reviewer: Advancing Code Review Automation with Large Language Models through Parameter-Efficient Fine-Tuning,,,,,https://ieeexplore.ieee.org/document/10299938,""The automation of code review activities, a long-standing pursuit in software engineering, has been primarily addressed by numerous domain-specific pre-trained models. Despite their success, these models frequently demand extensive resources for pre-training from scratch. In contrast, Large Language Models (LLMs) provide an intriguing alternative, given their remarkable capabilities when supplemented with domain-specific knowledge. However, their potential for automating code review tasks remains largely unexplored.In response to this research gap, we present LLaMA-Reviewer, an innovative framework that leverages the capabilities of LLaMA, a popular LLM, in the realm of code review. Mindful of resource constraints, this framework employs parameter-efficient fine-tuning (PEFT) methods, delivering high performance while using less than 1% of trainable parameters.An extensive evaluation of LLaMA-Reviewer is conducted on two diverse, publicly available datasets. Notably, even with the smallest LLaMA base model consisting of 6.7B parameters and a limited number of tuning epochs, LLaMA-Reviewer equals the performance of existing code-review-focused models.The ablation experiments provide insights into the influence of various fine-tuning process components, including input representation, instruction tuning, and different PEFT methods. To foster continuous progress in this field, the code and all PEFT-weight plugins have been made open-source."",,2025-03-03 21:32:45,2025-03-03 21:32:45,2025-03-03 21:32:45,,,,,,,LLaMA-Reviewer,,,,,,,en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;;;;
"CCQCVU4D,conferencePaper,2023.0,""Lu, Junyi"; Yu, Lei; Li, Xiaojia; Yang, Li;" Zuo, Chun"",LLaMA-Reviewer: Advancing Code Review Automation with Large Language Models through Parameter-Efficient Fine-Tuning,2023 IEEE 34th International Symposium on Software Reliability Engineering (ISSRE),,,10.1109/ISSRE59848.2023.00026,https://ieeexplore.ieee.org/document/10299938/?arnumber=10299938,""The automation of code review activities, a long-standing pursuit in software engineering, has been primarily addressed by numerous domain-specific pre-trained models. Despite their success, these models frequently demand extensive resources for pre-training from scratch. In contrast, Large Language Models (LLMs) provide an intriguing alternative, given their remarkable capabilities when supplemented with domain-specific knowledge. However, their potential for automating code review tasks remains largely unexplored.In response to this research gap, we present LLaMA-Reviewer, an innovative framework that leverages the capabilities of LLaMA, a popular LLM, in the realm of code review. Mindful of resource constraints, this framework employs parameter-efficient fine-tuning (PEFT) methods, delivering high performance while using less than 1% of trainable parameters.An extensive evaluation of LLaMA-Reviewer is conducted on two diverse, publicly available datasets. Notably, even with the smallest LLaMA base model consisting of 6.7B parameters and a limited number of tuning epochs, LLaMA-Reviewer equals the performance of existing code-review-focused models.The ablation experiments provide insights into the influence of various fine-tuning process components, including input representation, instruction tuning, and different PEFT methods. To foster continuous progress in this field, the code and all PEFT-weight plugins have been made open-source."",2023-10,2025-03-03 21:33:29,2025-03-03 21:33:29,2025-03-03 21:33:28,647-658,,,,,,LLaMA-Reviewer,,,,,,,,,,,,IEEE Xplore,,ISSN: 2332-6549,,C:\Users\kasutaja\Zotero\storage\WUTGPMHI\Lu et al. - 2023 - LLaMA-Reviewer Advancing Code Review Automation w.pdf"; C:\Users\kasutaja\Zotero\storage\ZYT6QEFI\10299938.html,,,Task analysis; Automation; Code Review Automation; Codes; Deep Learning; Large Language Models (LLMs); LLaMA; Parameter-Efficient Fine-Tuning (PEFT); Quality assurance; Software engineering; Software Quality Assurance; Software reliability; Tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 IEEE 34th International Symposium on Software Reliability Engineering (ISSRE),,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;
"PECUQ89Z,conferencePaper,2024.0,""Saputra, Adi"; Suryani, Erma;" Rakhmawati, Nur Aini"",Secure and Scalable LLM-Based Recommendation Systems: An MLOps and Security by Design,2024 IEEE International Symposium on Consumer Technology (ISCT),,,10.1109/ISCT62336.2024.10791207,https://ieeexplore.ieee.org/document/10791207/keywords#keywords,""Integrating Large Language Models (LLMs) into e-commerce recommendation systems promises to transform consumer interactions with products, enhancing discovery and engagement through personalized recommendations. This approach has become vital for improving user experience and boosting sales. However, the adoption of LLMs introduces significant security and scalability challenges. To address these issues, this paper proposes an innovative framework that combines machine learning operations (MLOps) with security-by-design principles, with the aim of creating LLM -based recommendation systems that are secure and scalable for e-commerce platforms. This study explores the entire life cycle of an LLM-based recommendation system, from data preprocessing and model training to deployment and continuous monitoring, while embedding security and scalability. By implementing Machine Learning Operations (MLOps) with security-by-design principles, e-commerce businesses can leverage the advanced capabilities of LLMs to provide personalized shopping experiences, increase user engagement, and drive sales without compromising user trust and system performance."",2024-08,2025-03-03 21:37:43,2025-03-03 21:37:43,2025-03-03 21:37:42,623-629,,,,,,Secure and Scalable LLM-Based Recommendation Systems,,,,,,,,,,,,IEEE Xplore,,ISSN: 2159-1423,,C:\Users\kasutaja\Zotero\storage\TCDTELWQ\Saputra et al. - 2024 - Secure and Scalable LLM-Based Recommendation Syste.pdf"; C:\Users\kasutaja\Zotero\storage\2KTLADQN\keywords.html,,,Security; Large language models; LLMs; Scalability; Consumer; Electronic commerce; LLM-based recommendation systems; Machine Learning Operations; MLOps; Recommender systems; Safety; security-by-design principles; System performance; Training; Transforms; User experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 IEEE International Symposium on Consumer Technology (ISCT),,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;
"3M3TRRIQ,conferencePaper,2024.0,""Liu, Shang"; Fang, Wenji; Lu, Yao; Zhang, Qijun; Zhang, Hongce;" Xie, Zhiyao"",RTLCoder: Outperforming GPT-3.5 in Design RTL Generation with Our Open-Source Dataset and Lightweight Solution,2024 IEEE LLM Aided Design Workshop (LAD),,,10.1109/LAD62341.2024.10691788,https://ieeexplore.ieee.org/document/10691788/footnotes#footnotes,""The automatic generation of RTL code (e.g., Verilog) using natural language instructions and large language models (LLMs) has attracted significant research interest recently. However, most existing approaches heavily rely on commercial LLMs such as ChatGPT, while open-source LLMs tailored for this specific design generation task exhibit notably inferior performance. The absence of high-quality open-source solutions restricts the flexibility and data privacy of this emerging technique. In this study, we present a new customized LLM solution with a modest parameter count of only 7B, achieving better performance than GPT-3.5 on all representative benchmarks for RTL code generation. Especially, it outperforms GPT-4 in VerilogEval Machine benchmark. This remarkable balance between accuracy and efficiency is made possible by leveraging our new RTL code dataset and a customized LLM algorithm, both of which have been made fully open-source1."",2024-06,2025-03-03 21:41:07,2025-03-03 21:41:07,2025-03-03 21:41:07,1-5,,,,,,RTLCoder,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\kasutaja\Zotero\storage\STBMQZBT\Liu et al. - 2024 - RTLCoder Outperforming GPT-3.5 in Design RTL Gene.pdf"; C:\Users\kasutaja\Zotero\storage\GEAGV3CL\footnotes.html,,,Large language models; Natural languages; Codes; Accuracy; Benchmark testing; Chatbots; Conferences; Data privacy; Hardware design languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 IEEE LLM Aided Design Workshop (LAD),,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;
"ZE2FTIXH,journalArticle,2025.0,""Ferrari, Alessio";" Spoletini, Paola"",Formal requirements engineering and large language models: A two-way roadmap,Information and Software Technology,,0950-5849,10.1016/j.infsof.2025.107697,https://www.sciencedirect.com/science/article/pii/S0950584925000369,""Context: Large Language Models (LLMs) have made remarkable advancements in emulating human linguistic capabilities, showing potential also in executing various requirements engineering (RE) tasks. However, despite their generally good performance, the adoption of LLM-generated solutions and artefacts prompts concerns about their correctness, fairness, and trustworthiness. Objective: This paper aims to address the concerns associated with the use of LLMs in RE activities. Specifically, it seeks to develop a roadmap that leverages formal methods (FMs) to provide guarantees of correctness, fairness, and trustworthiness when LLMs are utilised in RE. Symmetrically, it aims to explore how LLMs can be employed to make FMs more accessible. Methods: We use two sets of examples to show the current limits of FMs when used in software development and of LLMs when used for RE tasks. The highlighted limitations are addressed by proposing two roadmaps grounded in the current literature and technologies. Results: The proposed examples show the potential and limits of FMs in supporting software development and of LLMs when used for RE tasks. The initial investigation into how these limitations can be overcome has been concretised in two detailed roadmaps for the RE and, more largely, the software engineering community. Conclusion: The proposed roadmaps offer a promising approach to address the concerns of correctness, fairness, and trustworthiness associated with the use of LLMs in RE tasks through the use of FMs and to enhance the accessibility of FMs by utilising LLMs."",2025-05-01,2025-03-03 21:49:09,2025-03-03 21:49:09,2025-03-03 21:49:09,107697,,,181.0,,Information and Software Technology,Formal requirements engineering and large language models,,,,,,,,,,,,ScienceDirect,,,,C:\Users\kasutaja\Zotero\storage\BJZEJUNB\S0950584925000369.html,,,Large language models"; LLMs; Natural language processing; Formal methods; NLP; NLP4RE; Prompt engineering; Prompt requirements engineering; Requirements engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;
"UM8XKKWD,preprint,2024.0,""Bhardwaj, Meher"; Ethari, Hrishikesh;" Moirangthem, Dennis Singh"",EzSQL: An SQL intermediate representation for improving SQL-to-text Generation,,,,10.48550/arXiv.2411.18923,http://arxiv.org/abs/2411.18923,""The SQL-to-text generation task traditionally uses template base, Seq2Seq, tree-to-sequence, and graph-to-sequence models. Recent models take advantage of pre-trained generative language models for this task in the Seq2Seq framework. However, treating SQL as a sequence of inputs to the pre-trained models is not optimal. In this work, we put forward a new SQL intermediate representation called EzSQL to align SQL with the natural language text sequence. EzSQL simplifies the SQL queries and brings them closer to natural language text by modifying operators and keywords, which can usually be described in natural language. EzSQL also removes the need for set operators. Our proposed SQL-to-text generation model uses EzSQL as the input to a pre-trained generative language model for generating the text descriptions. We demonstrate that our model is an effective state-of-the-art method to generate text narrations from SQL queries on the WikiSQL and Spider datasets. We also show that by generating pretraining data using our SQL-to-text generation model, we can enhance the performance of Text-to-SQL parsers."",2024-11-28,2025-03-08 14:57:21,2025-03-08 14:57:40,2025-03-08 14:57:21,,,,,,,EzSQL,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2411.18923 [cs],,C:\Users\kasutaja\Zotero\storage\5EJ6C7KG\Bhardwaj et al. - 2024 - EzSQL An SQL intermediate representation for impr.pdf"; C:\Users\kasutaja\Zotero\storage\CVNJUC7W\2411.html,,sql to text,Computer Science - Artificial Intelligence; Computer Science - Computation and Language,,,,,,,,,,,,,,,,,,,arXiv:2411.18923,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;;
"XSZ5AXKQ,journalArticle,2024.0,""Han, Mirae"; Park, Seongsik; Kim, Seulgi;" Kim, Harksoo"",Bridging the gap between text-to-SQL research and real-world applications: A unified all-in-one framework for text-to-SQL,Knowledge-Based Systems,,0950-7051,10.1016/j.knosys.2024.112697,https://www.sciencedirect.com/science/article/pii/S0950705124013315,""Existing text-to-SQL research assumes the availability of gold table when generating SQL queries. It is possible to effectively generate complex and difficult queries by leveraging information from the gold table. However, in real-world scenarios, determining which of the numerous tables in a database should be referenced is challenging. Therefore, existing models reveal a gap in achieving the core objective of practicality in text-to-SQL research. In response, we propose a practical framework that can effectively convert user questions into queries, even in scenarios where reference tables are not provided. By adding a phase to find tables, it can generate queries using only information from questions, mitigating the limitations that arise when restricting reference tables to a single one. We demonstrate that our methods are suitable for practical use in text-to-SQL systems by achieving performances comparable to those of existing models with simple structures."",2024-12-20,2025-03-08 15:13:03,2025-03-08 15:13:14,2025-03-08 15:13:03,112697,,,306.0,,Knowledge-Based Systems,Bridging the gap between text-to-SQL research and real-world applications,,,,,,,,,,,,ScienceDirect,,,,C:\Users\kasutaja\Zotero\storage\CBM63LR4\S0950705124013315.html,,Text to sql,Natural language processing"; Semantic parsing; Table selection; Text-to-SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;
"BLAQFEH3,journalArticle,2021.0,""Schoenenwald, Alexander"; Kern, Simon; Viehhauser, Josef;" Schildgen, Johannes"",Collecting and visualizing data lineage of Spark jobs: Digesting Spark execution plans to surface lineage graphs via a full-stack application,Datenbank-Spektrum,,""1618-2162, 1610-1995"",10.1007/s13222-021-00387-7,https://link.springer.com/10.1007/s13222-021-00387-7,""Abstract                            Metadata management constitutes a key prerequisite for enterprises as they engage in data analytics and governance. Today, however, the context of data is often only manually documented by subject matter experts, and lacks completeness and reliability due to the complex nature of data pipelines. Thus, collecting data lineage—describing the origin, structure, and dependencies of data—in an automated fashion increases quality of provided metadata and reduces manual effort, making it critical for the development and operation of data pipelines. In our practice report, we propose an end-to-end solution that digests lineage via (Py‑)Spark execution plans. We build upon the open-source component               Spline               , allowing us to reliably consume lineage metadata and identify interdependencies. We map the digested data into an expandable data model, enabling us to extract graph structures for both coarse- and fine-grained data lineage. Lastly, our solution visualizes the extracted data lineage via a modern web app, and integrates with BMW Group’s soon-to-be open-sourced Cloud Data Hub."",2021-11,2025-03-08 15:24:47,2025-03-08 15:24:58,2025-03-08 15:24:47,179-189,,3.0,21.0,,Datenbank Spektrum,Collecting and visualizing data lineage of Spark jobs,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\kasutaja\Zotero\storage\ZZMAHTEH\Schoenenwald et al. - 2021 - Collecting and visualizing data lineage of Spark j.pdf,,lineage data model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;
"PYXZSTG4,journalArticle,,""Moreau, Luc"",The Open Provenance Model (v1.1),,,,,,""The Open Provenance Model is a model for provenance that is designed to meet the following requirements: (1) To allow provenance information to be exchanged between systems, by means of a compatibility layer based on a shared provenance model. (2) To allow developers to build and share tools that operate on such a provenance model. (3) To deﬁne the model in a precise, technology-agnostic manner. (4) To support a digital representation of provenance for any “thing”, whether produced by computer systems or not. (5) To deﬁne a core set of rules that identify the valid inferences that can be made on provenance graphs. This document contains the speciﬁcation of the Open Provenance Model (v1.1) resulting from a community-eﬀort to achieve inter-operability in the Third Provenance Challenge."",,2025-03-08 15:31:12,2025-03-08 15:31:12,,,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\kasutaja\Zotero\storage\AGC52CFA\Moreau - The Open Provenance Model (v1.1).pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;;;;
"B5U3UHRK,webpage,2019.0,""Hoppa, Jocelyn"",Real-Time Data Lineage at UBS,Graph Database & Analytics,,,,https://neo4j.com/blog/cypher-and-gql/real-time-data-lineage-ubs/,""Discover how UBS created the real-time data lineage diagram tool, Group Data Dictionary, for data governance by leveraging Neo4j graph databases and Oracle."",2019-04-11,2025-03-08 15:33:21,2025-03-08 15:33:21,2025-03-08 15:33:21,,,,,,,,,,,,,,en,,,,,,,,,C:\Users\kasutaja\Zotero\storage\5B37LEGT\real-time-data-lineage-ubs.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;;;;
"3KZS5RQD,journalArticle,2024.0,""Chen, Yunpeng"; Zhao, Ying; Li, Xuanjing; Zhang, Jiang; Long, Jiang;" Zhou, Fangfang"",Corrigendum to “An open dataset of data lineage graphs for data governance research” [Vis. Inform. 8 (1) (2024) 1-5],Visual Informatics,,2468-502X,10.1016/j.visinf.2024.04.002,https://www.sciencedirect.com/science/article/pii/S2468502X24000159,,2024-06-01,2025-03-08 15:57:26,2025-03-08 15:57:26,2025-03-08 15:57:26,115,,2.0,8.0,,Visual Informatics,,,,,,,,,,,,,ScienceDirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstrakti pole saadaval.";;;;;;;;;;;;;;;;;;;
"EH2CLNKF,journalArticle,2024.0,""Guitton, Florian"; Oehmichen, Axel; Bossé, Étienne;" Guo, Yike"",Honest Computing: Achieving demonstrable data lineage and provenance for driving data and process-sensitive policies,Data & Policy,,2632-3249,10.1017/dap.2024.68,http://arxiv.org/abs/2407.14390,""Data is the foundation of any scientific, industrial or commercial process. Its journey typically flows from collection to transport, storage, management and processing. While best practices and regulations guide data management and protection, recent events have underscored its vulnerability. Academic research and commercial data handling have been marred by scandals, revealing the brittleness of data management. Data, despite its importance, is susceptible to undue disclosures, leaks, losses, manipulation, or fabrication. These incidents often occur without visibility or accountability, necessitating a systematic structure for safe, honest, and auditable data management. In this paper, we introduce the concept of Honest Computing as the practice and approach that emphasizes transparency, integrity, and ethical behaviour within the realm of computing and technology. It ensures that computer systems and software operate honestly and reliably without hidden agendas, biases, or unethical practices. It enables privacy and confidentiality of data and code by design and by default. We also introduce a reference framework to achieve demonstrable data lineage and provenance, contrasting it with Secure Computing, a related but differently-orientated form of computing. At its core, Honest Computing leverages Trustless Computing, Confidential Computing, Distributed Computing, Cryptography and AAA security concepts. Honest Computing opens new ways of creating technology-based processes and workflows which permit the migration of regulatory frameworks for data protection from principle-based approaches to rule-based ones. Addressing use cases in many fields, from AI model protection and ethical layering to digital currency formation for finance and banking, trading, and healthcare, this foundational layer approach can help define new standards for appropriate data custody and processing."",2024,2025-03-08 15:59:57,2025-03-08 15:59:57,2025-03-08 15:59:57,e84,,,6.0,,Data & Policy,Honest Computing,,,,,,,,,,,,arXiv.org,,arXiv:2407.14390 [cs],,C:\Users\kasutaja\Zotero\storage\P57SZWXF\Guitton et al. - 2024 - Honest Computing Achieving demonstrable data line.pdf"; C:\Users\kasutaja\Zotero\storage\ETZM6ETU\2407.html,,,Computer Science - Computers and Society; Computer Science - Cryptography and Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;
"9JZMFUUZ,conferencePaper,2024.0,""Zhao, Hui"; Zhang, Xiaodong; Shi, Jinshan;" Li, Ru"",Data Lineage Construction Method for Multi-Chain-Based Data Assets Marketplaces,2024 27th International Conference on Computer Supported Cooperative Work in Design (CSCWD),,,10.1109/CSCWD61410.2024.10580287,https://ieeexplore.ieee.org/document/10580287,""Data lineage technology is a method of describing the relationships between data, which plays a crucial role in solving many challenges in the data marketplace, such as unauthorized data redistribution, data tampering, and false data transactions. However, the complexity of the multi-chain data marketplace, including factors such as data credibility, trust environment, data ownership, and relationship complexity, poses significant challenges to construct data lineages. To effectively address these challenges, we propose a data lineage construction method for multi-chain data marketplaces. This method mainly involves the following three steps: Firstly, map data assets to Data Non-Fungible Token (DataNFT) and use referable NFT (rNFT) to record data lineage. Secondly, when data assets require cross-chain transfer, the transfer message of DataNFT is broadcasted through the interchain NFT protocol, without the need for actual cross-chain transfer. Finally, we add weights to the data lineage link, enabling us to quickly locate problematic data based on weight sorting during data auditing. We have implemented a system prototype of this method and verified its effectiveness through experiments. The experimental results show that our proposed scheme not only ensures the correctness and completeness of data lineages, but also effectively reduces audit costs."",2024-05,2025-03-08 16:01:47,2025-03-08 16:01:47,2025-03-08 16:01:47,2110-2115,,,,,,,,,,,,,,,,,,IEEE Xplore,,ISSN: 2768-1904,,C:\Users\kasutaja\Zotero\storage\K6466ZJ8\Zhao et al. - 2024 - Data Lineage Construction Method for Multi-Chain-B.pdf,,,Costs"; Complexity theory; Access control; cross-chain; data lineage; data marketplace; Federated learning; Nonfungible tokens; Protocols; Prototypes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 27th International Conference on Computer Supported Cooperative Work in Design (CSCWD),,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;
"R5Y5I7IU,conferencePaper,2024.0,""Fox, Daniel C."; Khatiwada, Aamod;" Shraga, Roee"",A Generative Benchmark Creation Framework for Detecting Common Data Table Versions,Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,9798400704369,,10.1145/3627673.3679157,https://dl.acm.org/doi/10.1145/3627673.3679157,,2024-10-21,2025-03-09 22:32:06,2025-03-09 22:32:06,2025-03-09 22:32:06,5365-5369,,,,,,,,,,,ACM,Boise ID USA,en,,,,,DOI.org (Crossref),,,,C:\Users\kasutaja\Zotero\storage\N8ZFW3YU\Fox et al. - 2024 - A Generative Benchmark Creation Framework for Dete.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIKM '24: The 33rd ACM International Conference on Information and Knowledge Management,,,,,,,,,,,,,,,,Abstrakti pole saadaval.";;;;;;;;;;;;;;;;;;;;;;
"962VEW45,preprint,2025.0,""Santos, Aécio"; Pena, Eduardo H. M.; Lopez, Roque;" Freire, Juliana"",Interactive Data Harmonization with LLM Agents,,,,10.48550/arXiv.2502.07132,http://arxiv.org/abs/2502.07132,""Data harmonization is an essential task that entails integrating datasets from diverse sources. Despite years of research in this area, it remains a time-consuming and challenging task due to schema mismatches, varying terminologies, and differences in data collection methodologies. This paper presents the case for agentic data harmonization as a means to both empower experts to harmonize their data and to streamline the process. We introduce Harmonia, a system that combines LLM-based reasoning, an interactive user interface, and a library of data harmonization primitives to automate the synthesis of data harmonization pipelines. We demonstrate Harmonia in a clinical data harmonization scenario, where it helps to interactively create reusable pipelines that map datasets to a standard format. Finally, we discuss challenges and open problems, and suggest research directions for advancing our vision."",2025-03-05,2025-03-09 22:36:24,2025-03-09 22:36:24,2025-03-09 22:36:24,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2502.07132 [cs],,C:\Users\kasutaja\Zotero\storage\HUTZBUTC\Santos et al. - 2025 - Interactive Data Harmonization with LLM Agents.pdf"; C:\Users\kasutaja\Zotero\storage\I53FK3QY\2502.html,,,Computer Science - Artificial Intelligence; Computer Science - Databases,,,,,,,,,,,,,,,,,,,arXiv:2502.07132,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;
